name,symbol
bitcoin,btc
litecoin,ltc
peercoin,ppc
namecoin,nmc
terracoin,trc
devcoin,dvc
novacoin,nvc
feathercoin,ftc
freicoin,frc
mincoin,mnc
chncoin,cnc
bbqcoin,bqc
ixcoin,ixc
bitbar,btb
worldcoin,wdc
yacoin,yac
digitalcoin,dgc
memecoin,mem
americancoin,amc
franko,frk
elacoin,elc
goldcoin,glc
luckycoin,lky
junkcoin,jkc
nibble,nbl
bytecoin,bte
megacoin,mec
phoenixcoin,pxc
bitgem,btg
craftcoin,crc
fastcoin,fst
krugercoin,kgc
alphacoin,alf
argentum,arg
bottlecaps,cap
stablecoin,sbc
hypercoin,hyc
noirbits,nrb
doubloons,dbl
ezcoin,ezc
primecoin,xpm
infinitecoin,ifc
anoncoin,anc
nanotoken,nan
xencoin,xnc
casinocoin,csc
spots,spt
lebowskis,lbw
xrp,xrp
bullion,cbx
emerald crypto,emd
globalcoin,glc
quark,qrk
gamecoin,gme
gil,gil
zetacoin,zet
securecoin,src
tickets,tix
copperlark,clr
tagcoin,tag
bitshares pts,pts
flo,flo
i0coin,i0c
colossuscoin,col
nxt,nxt
datacoin,dtc
sexcoin,sxc
dogecoin,doge
deutsche emark,dem
betacoin,bet
unobtanium,uno
netcoin,net
tigercoin,tgc
grandcoin,gdc
orbitcoin,orb
philosopher stones,phs
diamond,dmd
hobonickels,hbn
joulecoin,xjo
omni,omni
earthcoin,eac
memorycoin,mmc
catcoin,cat
lottocoin,lot
asiccoin,asc
fedoracoin,tips
ronpaulcoin,rpc
mooncoin,moon
dimecoin,dime
frozen,fz
42-coin,42
qqcoin,qqc
etoken,etok
extremecoin,exc
xivra,xiv
ybcoin,ybc
kittehcoin,meow
particle,prt
redcoin,red
grain,gra
vertcoin,vtc
leafcoin,leaf
velocitycoin,vel
klondikecoin,kdc
battlecoin,bcx
starcoin,str
astrocoin,asr
applecoin,apc
noblecoin,nobl
digibyte,dgb
coino,con
smartcoin,smc
usde,usde
karmacoin,karma
pxlcoin,pxl
teslacoin,tes
counterparty,xcp
maxcoin,max
dash,dash
cachecoin,cach
ultracoin,utc
huntercoin,huc
nyancoin,nyan
reddcoin,rdd
premine,pmc
qubitcoin,q2c
potcoin,pot
blakecoin,blc
electric,volt
teacoin,tea
rapidcoin,rpd
mintcoin,mint
gridcoin classic,grcx
topcoin,top
corgicoin,corg
flappycoin,flap
pandacoin (panda),panda
penguincoin (old),peng
cryptographic anomaly,cga
dopecoin,dope
prospercoin,prc
icoin,icn
pandacoin (pand),pand
aricoin,ari
auroracoin,aur
blackcoin,blk
billioncoin,bil
maza,maza
takcoin,tak
riecoin,ric
continuumcoin,ctm
pesetacoin,ptc
pandacoin,pnd
animecoin,ani
marscoin,mars
benjamins,ben
cashcoin,cash
zenithcoin,ztc
orobit,oro
duckduckcoin,duck
66 coin,66
uniform fiscal object,ufo
unioncoin,unc
microcoin,mrc
grumpycoin,grump
murraycoin,mry
myriad,xmy
zedcoin,zed
rainbowcoin,lgbt
batcoin,bat
globe,glb
dnotes,note
thorcoin,thor
suncoin,sun
spaincoin,spa
marinecoin,mtc
coin2,nc2
heavycoin,hvc
saturncoin,sat
execoin,exe
ekrona,krn
heisenberg,hex
litebar,ltb
ebtcoin,ebt
piggycoin,pig
opensourcecoin,osc
fairquark,frq
fckbankscoin,fck
skeincoin,skc
noodlyappendagecoin,ndl
magic internet money,mim
leprocoin,lpc
aliencoin,aln
aphroditecoin,aph
aircoin,air
bitcoin scrypt,btcs
monacoin,mona
zeitcoin,zeit
ecc,ecc
faircoin,fair
fluttercoin,flt
gpucoin,gpuc
octocoin,888
metiscoin,mts
emoticoin,emo
ghostcoin,ghc
tenfivecoin,10-5
socialcoin,soc
rubycoin,rby
bela,bela
coin(o),cno
credits,cr
gaelcoin,gac
stockcoin,stc
stlcoin,stl
zeuscoin,zeu
emucoin,emu
siliconvalleycoin [old],xsv
e-gulden,efl
hirocoin,hiro
solarcoin,slr
blitzcoin,bltz
rotocoin,rt2
mtgoxcoin,gox
bitleu,btl
greececoin,grce
deletecoin,del
bones,bones
neocoin,nec
pawncoin,pawn
bonuscoin,bns
macrocoin,mcr
hongketocoin,hkc
foxcoin,fox
karpelescoin,kar
cryptoescudo,cesc
germanycoin,ger
educoin,edu
h2ocoin,h2o
dougcoin,doug
procoin,pcn
muniti,mun
einsteinium,emc2
gulden,nlg
isracoin,isr
groestlcoin,grs
lycancoin,lyc
365coin,365
polcoin,plc
whitecoin,xwc
nas,nas
asiacoin,ac
communitycoin,comm
caix,caix
